name,vacancy_rate,rental_stock,population,rental_pop,region,state
Calga,,0,138.0,30.0,Central Coast,New South Wales
Kulnura,0.73,2,603.0,18.08,Central Coast,New South Wales
Erina,0.11,3,4779.0,21.49,Central Coast,New South Wales
Gosford,2.06,56,3500.0,55.23,Central Coast,New South Wales
Springfield,,0,525.0,4.66,Mitcham,South Australia
Kariong,0.36,8,6385.0,19.06,Central Coast,New South Wales
Kincumber,0.18,6,7091.0,22.91,Central Coast,New South Wales
Picketts Valley,,0,218.0,4.35,Central Coast,New South Wales
Narara,0.54,17,7930.0,18.22,Central Coast,New South Wales
Niagara Park,0.18,2,2742.0,24.24,Central Coast,New South Wales
Lisarow,0.45,9,5141.0,15.72,Central Coast,New South Wales
Point Clare,0.53,9,3736.0,21.75,Central Coast,New South Wales
Koolewong,,0,865.0,18.48,Central Coast,New South Wales
Saratoga,0.63,10,3945.0,13.2,Central Coast,New South Wales
Davistown,0.07,1,2487.0,17.64,Central Coast,New South Wales
Terrigal,1.03,61,11347.0,20.38,Central Coast,New South Wales
North Avoca,0.57,6,2204.0,13.23,Central Coast,New South Wales
Booker Bay,0.69,6,1328.0,26.24,Central Coast,New South Wales
Patonga,,0,201.0,6.56,Central Coast,New South Wales
Wamberal,1.01,27,6550.0,14.91,Central Coast,New South Wales
Forresters Beach,0.42,6,2895.0,19.93,Central Coast,New South Wales
Woy Woy,0.57,32,10640.0,31.28,Central Coast,New South Wales
Blackwall,1.0,10,1886.0,25.75,Central Coast,New South Wales
Wyoming,0.58,25,10135.0,25.5,Central Coast,New South Wales
Bateau Bay,0.43,23,12148.0,22.68,Central Coast,New South Wales
Killarney Vale,0.77,24,7214.0,23.67,Central Coast,New South Wales
Blue Haven,0.72,17,6378.0,26.33,Central Coast,New South Wales
San Remo,0.94,17,4351.0,26.92,Central Coast,New South Wales
Budgewoi,0.85,16,3366.0,23.84,Central Coast,New South Wales
Buff Point,0.63,10,3506.0,19.01,Central Coast,New South Wales
Halekulani,0.15,2,2538.0,17.65,Central Coast,New South Wales
Chittaway Bay,0.63,5,2025.0,18.34,Central Coast,New South Wales
Tumbi Umbi,0.32,7,5109.0,17.02,Central Coast,New South Wales
Gorokan,1.07,44,8369.0,29.01,Central Coast,New South Wales
Kanwal,0.46,8,4100.0,22.64,Central Coast,New South Wales
Charmhaven,1.62,18,2545.0,25.08,Central Coast,New South Wales
Jilliby,0.17,1,1644.0,5.66,Central Coast,New South Wales
Yarramalong,,0,346.0,8.72,Central Coast,New South Wales
Lake Munmorah,0.53,13,5247.0,14.16,Central Coast,New South Wales
Mannering Park,0.62,7,2471.0,21.31,Central Coast,New South Wales
Ourimbah,0.57,9,3955.0,22.75,Central Coast,New South Wales
Fountaindale,,0,701.0,2.79,Central Coast,New South Wales
Summerland Point,0.63,8,2495.0,16.45,Central Coast,New South Wales
Gwandalan,0.81,14,3278.0,15.51,Central Coast,New South Wales
The Entrance,1.45,49,4004.0,35.32,Central Coast,New South Wales
Toukley,1.11,27,4554.0,31.98,Central Coast,New South Wales
Norah Head,,0,1132.0,16.31,Central Coast,New South Wales
Tuggerah,0.41,2,927.0,32.85,Central Coast,New South Wales
Kangy Angy,1.45,2,306.0,8.08,Central Coast,New South Wales
Warnervale,0.35,2,639.0,18.63,Central Coast,New South Wales
Wadalba,1.77,27,2838.0,37.04,Central Coast,New South Wales
Wyong,1.19,26,4330.0,36.05,Central Coast,New South Wales
Bathurst,2.19,90,6928.0,41.48,Bathurst Regional,New South Wales
Oberon,0.75,13,3252.0,21.35,Oberon,New South Wales
Condobolin,0.21,5,3490.0,26.2,Lachlan,New South Wales
Cowra,0.41,21,10060.0,24.67,Cowra,New South Wales
Forbes,1.27,55,8432.0,23.04,Forbes,New South Wales
Grenfell,0.27,4,2565.0,18.04,Weddin,New South Wales
West Wyalong,0.24,4,3146.0,20.71,Bland,New South Wales
Lithgow,0.95,27,5202.0,28.87,Lithgow,New South Wales
Mudgee,2.71,149,10925.0,30.75,Mid-Western Regional,New South Wales
Wollangambe,,0,,,Lithgow,New South Wales
Wollemi,,0,,,Singleton,New South Wales
Blayney,0.68,11,3381.0,26.7,Blayney,New South Wales
Orange,1.28,245,38101.0,29.68,Orange,New South Wales
Grafton,0.69,35,10409.0,30.18,Clarence Valley,New South Wales
Maclean,0.68,9,2624.0,29.57,Clarence Valley,New South Wales
Yamba,0.68,32,6077.0,22.97,Clarence Valley,New South Wales
Iluka,0.31,6,5269.0,8.59,Joondalup,Western Australia
Bellingen,0.55,10,3781.0,25.88,Bellingen,New South Wales
Coffs Harbour,1.08,143,25753.0,34.3,Coffs Harbour,New South Wales
Coramba,0.29,1,814.0,11.71,Coffs Harbour,New South Wales
Nana Glen,0.22,1,1049.0,14.39,Coffs Harbour,New South Wales
Bucca,0.22,1,1031.0,8.17,Bundaberg,Queensland
Dorrigo,0.43,3,1185.0,18.01,Bellingen,New South Wales
Korora,1.5,19,2489.0,21.67,Coffs Harbour,New South Wales
Emerald Beach,0.75,8,2235.0,17.22,Coffs Harbour,New South Wales
Sawtell,0.67,14,3683.0,26.43,Coffs Harbour,New South Wales
Boambee,0.15,1,1667.0,11.35,Coffs Harbour,New South Wales
Urunga,0.72,14,2999.0,25.22,Bellingen,New South Wales
Woolgoolga,0.93,28,5289.0,24.66,Coffs Harbour,New South Wales
Arrawarra,,0,526.0,11.83,Coffs Harbour,New South Wales
Bourke,,0,1915.0,29.93,Bourke,New South Wales
Brewarrina,,0,1143.0,48.35,Brewarrina,New South Wales
Cobar,0.37,8,3990.0,28.52,Cobar,New South Wales
Coonamble,0.2,3,2754.0,23.0,Coonamble,New South Wales
Nyngan,0.07,1,2160.0,27.09,Bogan,New South Wales
Warren,0.52,4,1382.0,23.42,Warren,New South Wales
Walgett,,0,2142.0,37.51,Walgett,New South Wales
Lightning Ridge,0.12,2,2279.0,23.31,Walgett,New South Wales
Broken Hill,0.29,29,17816.0,18.34,NSW,New South Wales
Coonabarabran,0.36,7,3290.0,24.87,Warrumbungle Shire,New South Wales
Dubbo,1.11,217,38942.0,28.61,Western Plains Regional,New South Wales
Gilgandra,0.13,2,3124.0,25.68,Gilgandra,New South Wales
Narromine,0.31,7,4696.0,23.47,Narromine,New South Wales
Wellington,1.43,29,4083.0,29.19,Western Plains Regional,New South Wales
Branxton,0.8,8,1990.0,15.59,Singleton,New South Wales
Greta,0.97,14,2830.0,21.31,Cessnock,New South Wales
Pokolbin,0.13,1,962.0,10.93,Cessnock,New South Wales
Cessnock,1.07,76,15179.0,33.03,Cessnock,New South Wales
Dungog,1.09,11,2027.0,21.14,Dungog,New South Wales
Kurri Kurri,0.64,18,6038.0,30.64,Cessnock,New South Wales
Abermain,0.39,4,2340.0,15.67,Cessnock,New South Wales
Singleton,1.69,42,4995.0,31.03,Singleton,New South Wales
Maitland,1.21,12,1881.0,31.22,Maitland,New South Wales
East Maitland,0.9,52,11780.0,32.24,Maitland,New South Wales
Metford,0.68,13,4764.0,31.75,Maitland,New South Wales
Aberglasslyn,0.83,20,5405.0,32.88,Maitland,New South Wales
Telarah,0.64,7,2330.0,30.06,Maitland,New South Wales
Tenambit,0.13,2,2898.0,29.8,Maitland,New South Wales
Thornton,0.98,42,8062.0,19.87,Maitland,New South Wales
Millers Forest,,0,330.0,16.53,Maitland,New South Wales
Anna Bay,0.42,9,3846.0,17.28,Port Stephens,New South Wales
Lemon Tree Passage,0.15,2,2598.0,21.58,Port Stephens,New South Wales
Tanilba Bay,0.2,3,3156.0,21.59,Port Stephens,New South Wales
Raymond Terrace,0.77,46,12819.0,34.67,Port Stephens,New South Wales
Seaham,,0,1001.0,5.74,Port Stephens,New South Wales
Woodville,0.77,8,2000.0,33.3,Charles Sturt,South Australia
Tea Gardens,0.16,3,2878.0,18.63,Mid-Coast,New South Wales
Hawks Nest,0.39,6,1221.0,12.98,Mid-Coast,New South Wales
Williamtown,0.54,2,886.0,10.67,Port Stephens,New South Wales
Medowie,0.75,34,9567.0,21.3,Port Stephens,New South Wales
Karuah,1.15,10,1414.0,20.43,Port Stephens,New South Wales
Muswellbrook,1.01,60,12076.0,34.88,Muswellbrook,New South Wales
Scone,0.77,21,5622.0,27.51,Upper Hunter Shire,New South Wales
Dapto,0.51,24,10726.0,21.15,Wollongong,New South Wales
Avondale,0.25,2,1649.0,23.38,Wollongong,New South Wales
Horsley,0.34,12,8231.0,13.39,Wollongong,New South Wales
Kembla Grange,0.96,1,252.0,22.73,Wollongong,New South Wales
Unanderra,0.74,19,5433.0,38.76,Wollongong,New South Wales
Mount Kembla,,0,1064.0,4.18,Wollongong,New South Wales
Berkeley,0.66,23,7602.0,32.49,Wollongong,New South Wales
Lake Heights,0.59,10,3844.0,24.06,Wollongong,New South Wales
Cringila,0.99,9,2204.0,21.86,Wollongong,New South Wales
Port Kembla,0.87,23,5011.0,28.27,Wollongong,New South Wales
Warrawong,1.03,23,4750.0,41.35,Wollongong,New South Wales
Windang,0.07,1,2653.0,19.56,Wollongong,New South Wales
Primbee,0.38,3,1642.0,26.47,Wollongong,New South Wales
Albion Park,0.64,36,13317.0,15.74,Shellharbour,New South Wales
Macquarie Pass,,0,,,Shellharbour,New South Wales
Albion Park Rail,0.38,12,6918.0,24.34,Shellharbour,New South Wales
Kiama,0.5,22,6884.0,20.6,Kiama,New South Wales
Kiama Downs,0.56,11,5007.0,12.63,Kiama,New South Wales
Minnamurra,1.03,4,756.0,12.32,Kiama,New South Wales
Gerringong,0.74,14,3967.0,16.81,Kiama,New South Wales
Shellharbour,0.88,16,3564.0,28.04,Shellharbour,New South Wales
Flinders,0.44,11,6672.0,21.08,Shellharbour,New South Wales
Oak Flats,0.34,11,6408.0,19.34,Shellharbour,New South Wales
Warilla,0.64,19,6452.0,36.22,Shellharbour,New South Wales
Balgownie,0.59,14,5528.0,18.59,Wollongong,New South Wales
Fairy Meadow,1.07,38,7408.0,37.38,Wollongong,New South Wales
Corrimal,0.54,18,6516.0,27.66,Wollongong,New South Wales
Tarrawanna,0.31,3,2073.0,26.95,Wollongong,New South Wales
Bellambi,0.46,9,3950.0,49.44,Wollongong,New South Wales
Figtree,0.64,30,11559.0,15.17,Wollongong,New South Wales
Keiraville,1.57,23,3569.0,32.78,Wollongong,New South Wales
Helensburgh,0.4,10,6379.0,12.57,Wollongong,New South Wales
Thirroul,0.79,21,6085.0,17.57,Wollongong,New South Wales
Austinmer,0.69,8,2564.0,18.79,Wollongong,New South Wales
Coalcliff,2.08,2,195.0,9.64,Wollongong,New South Wales
Woonona,0.47,24,12185.0,22.7,Wollongong,New South Wales
Bulli,0.38,10,6104.0,20.27,Wollongong,New South Wales
Russell Vale,0.31,2,1545.0,19.22,Wollongong,New South Wales
Wollongong,2.05,259,18442.0,45.31,Wollongong,New South Wales
Bulahdelah,0.39,3,1427.0,18.73,Mid-Coast,New South Wales
Stroud,0.45,2,931.0,13.19,Mid-Coast,New South Wales
Forster,0.6,53,13744.0,22.28,Mid-Coast,New South Wales
Tuncurry,0.68,27,6184.0,22.95,Mid-Coast,New South Wales
Kempsey,1.1,3,475.0,40.47,Kempsey,New South Wales
Macksville,0.83,11,2592.0,27.29,Nambucca,New South Wales
Scotts Head,0.49,3,895.0,20.69,Nambucca,New South Wales
Nambucca Heads,0.79,32,6328.0,29.78,Nambucca,New South Wales
South West Rocks,0.53,18,4606.0,20.94,Kempsey,New South Wales
Lord Howe Island,,0,380.0,24.07,NSW,New South Wales
Laurieton,0.24,3,1991.0,25.65,Port Macquarie-Hastings,New South Wales
Bonny Hills,0.48,7,2976.0,14.13,Port Macquarie-Hastings,New South Wales
Port Macquarie,0.81,194,44829.0,28.02,Port Macquarie-Hastings,New South Wales
Wauchope,0.51,16,6310.0,29.29,Port Macquarie-Hastings,New South Wales
Gloucester,0.43,7,2979.0,24.9,Mid-Coast,New South Wales
Old Bar,1.16,30,4390.0,24.35,Mid-Coast,New South Wales
Manning Point,,0,244.0,9.64,Mid-Coast,New South Wales
Red Head,0.71,3,510.0,14.55,Mid-Coast,New South Wales
Taree,0.74,58,16200.0,33.06,Mid-Coast,New South Wales
Wingham,0.74,18,5376.0,20.44,Mid-Coast,New South Wales
Albury,1.21,34,4802.0,29.35,Albury,New South Wales
Lavington,0.9,59,12478.0,33.13,Albury,New South Wales
Hay,0.15,2,2403.0,22.48,Hay,New South Wales
Wentworth,0.54,5,1437.0,21.35,Wentworth,New South Wales
Buronga,0.67,5,1214.0,18.18,Wentworth,New South Wales
Corowa,0.32,10,5477.0,20.58,Federation,New South Wales
Deniliquin,0.26,11,7867.0,23.7,Murray River,New South Wales
Moama,0.26,12,6165.0,21.62,Murray River,New South Wales
Tocumwal,0.24,4,2685.0,16.64,Berrigan,New South Wales
Finley,0.49,7,2524.0,21.73,Berrigan,New South Wales
Jerilderie,0.33,2,1027.0,22.01,Murrumbidgee,New South Wales
Armidale,1.6,183,23350.0,32.74,Armidale Regional,New South Wales
Walcha,0.07,1,2552.0,19.44,Walcha,New South Wales
Glen Innes,0.53,17,6151.0,24.76,Glen Innes Severn,New South Wales
Inverell,0.73,41,11660.0,29.76,Inverell,New South Wales
Tenterfield,0.77,19,4059.0,20.84,Tenterfield,New South Wales
Moree,1.01,47,9309.0,31.86,Moree Plains,New South Wales
Narrabri,0.19,7,7603.0,26.77,Narrabri,New South Wales
Gunnedah,0.67,32,9725.0,28.88,Gunnedah,New South Wales
Quirindi,0.41,7,3443.0,26.72,Liverpool Plains,New South Wales
Tamworth,4.63,10,185.0,19.23,Tamworth Regional,New South Wales
Belmont,1.07,87,14051.0,29.03,Greater Geelong,Victoria
Bennetts Green,,0,13.0,,Lake Macquarie,New South Wales
Belmont South,0.74,4,1051.0,36.11,Lake Macquarie,New South Wales
Blacksmiths,0.32,3,1844.0,20.53,Lake Macquarie,New South Wales
Charlestown,0.62,38,12914.0,22.72,Lake Macquarie,New South Wales
Dudley,,0,2419.0,13.9,Lake Macquarie,New South Wales
Glendale,0.4,6,3096.0,25.99,Lake Macquarie,New South Wales
Cardiff,0.45,13,5830.0,23.54,Lake Macquarie,New South Wales
Mount Hutton,0.78,14,3533.0,23.45,Lake Macquarie,New South Wales
Windale,0.37,6,3359.0,66.96,Lake Macquarie,New South Wales
Redhead,0.38,7,3521.0,14.81,Lake Macquarie,New South Wales
Swansea,0.5,15,5056.0,26.76,Lake Macquarie,New South Wales
Caves Beach,0.55,10,4054.0,15.43,Lake Macquarie,New South Wales
Valentine,0.49,11,5511.0,9.87,Lake Macquarie,New South Wales
Eleebana,0.08,2,5764.0,9.14,Lake Macquarie,New South Wales
Warners Bay,0.65,25,7616.0,21.53,Lake Macquarie,New South Wales
Boolaroo,1.58,16,1042.0,25.16,Lake Macquarie,New South Wales
Bolton Point,0.34,3,2117.0,36.9,Lake Macquarie,New South Wales
Teralba,0.52,6,1585.0,22.24,Lake Macquarie,New South Wales
Bonnells Bay,0.65,11,3572.0,20.43,Lake Macquarie,New South Wales
Edgeworth,0.24,8,6206.0,23.59,Lake Macquarie,New South Wales
Cameron Park,0.61,23,7995.0,20.2,Lake Macquarie,New South Wales
Morisset,1.19,26,3211.0,25.69,Lake Macquarie,New South Wales
Cooranbong,0.98,36,5448.0,22.95,Lake Macquarie,New South Wales
Toronto,0.32,9,5597.0,31.6,Lake Macquarie,New South Wales
Awaba,,0,400.0,6.77,Lake Macquarie,New South Wales
Wangi Wangi,0.35,5,2760.0,19.12,Lake Macquarie,New South Wales
Rathmines,0.12,1,1902.0,12.59,Lake Macquarie,New South Wales
West Wallsend,0.61,7,2243.0,21.01,Lake Macquarie,New South Wales
Barnsley,0.15,1,1749.0,15.54,Lake Macquarie,New South Wales
Killingworth,,0,679.0,7.21,Lake Macquarie,New South Wales
Adamstown,1.34,42,6047.0,35.86,Newcastle,New South Wales
Kotara,0.57,11,3926.0,15.02,Newcastle,New South Wales
Beresfield,1.01,17,3181.0,26.58,Newcastle,New South Wales
Hexham,,0,146.0,23.81,Moyne,Victoria
Hamilton,0.09,5,9974.0,21.23,Southern Grampians,Victoria
Broadmeadow,2.14,20,1596.0,36.77,Newcastle,New South Wales
Lambton,1.1,26,4910.0,31.69,Newcastle,New South Wales
New Lambton,0.85,40,10043.0,26.67,Newcastle,New South Wales
Fletcher,0.67,17,5136.0,18.65,Newcastle,New South Wales
Minmi,0.79,2,740.0,12.66,Newcastle,New South Wales
Mayfield,0.78,5,1451.0,43.8,Launceston,Tasmania
Warabrook,0.69,6,1976.0,32.74,Newcastle,New South Wales
Merewether,1.07,57,10964.0,30.22,Newcastle,New South Wales
The Junction,2.19,12,1049.0,30.43,Newcastle,New South Wales
Newcastle,3.1,90,2754.0,37.25,Newcastle,New South Wales
Cooks Hill,2.27,48,3619.0,45.45,Newcastle,New South Wales
Kooragang,,0,,,Newcastle,New South Wales
Shortland,1.06,25,3907.0,32.23,Newcastle,New South Wales
Jesmond,1.9,34,3047.0,56.02,Newcastle,New South Wales
Stockton,0.62,12,4160.0,26.25,Newcastle,New South Wales
Fullerton Cove,,0,568.0,4.45,Port Stephens,New South Wales
Wallsend,0.94,59,12468.0,31.82,Newcastle,New South Wales
Elermore Vale,0.61,16,5522.0,24.77,Newcastle,New South Wales
Waratah,1.21,27,4495.0,40.92,Newcastle,New South Wales
North Lambton,2.57,39,3312.0,34.11,Newcastle,New South Wales
Wickham,0.1,1,2294.0,69.14,Karratha,Western Australia
Carrington,,0,189.0,11.43,Tablelands,Queensland
Tighes Hill,1.11,9,1680.0,31.1,Newcastle,New South Wales
Ballina,0.67,37,8650.0,36.84,Ballina,New South Wales
Bangalow,0.88,10,2016.0,22.68,Byron,New South Wales
Brunswick Heads,0.22,3,1741.0,30.73,Byron,New South Wales
Ocean Shores,0.6,16,5136.0,23.21,Byron,New South Wales
Byron Bay,0.84,32,5516.0,23.26,Byron,New South Wales
Evans Head,0.51,11,2852.0,30.43,Richmond Valley,New South Wales
Lennox Head,0.71,28,6409.0,19.58,Ballina,New South Wales
Skennars Head,0.66,5,1159.0,15.67,Ballina,New South Wales
Mullumbimby,0.35,8,3591.0,24.14,Byron,New South Wales
Casino,0.55,29,10913.0,31.36,Richmond Valley,New South Wales
Goonellabah,0.68,42,12898.0,27.47,Lismore,New South Wales
Kyogle,0.71,8,2200.0,26.46,Kyogle,New South Wales
Lismore,0.7,13,3578.0,36.92,Lismore,New South Wales
Kingscliff,1.25,53,7465.0,25.71,Tweed,New South Wales
Fingal Head,0.76,3,590.0,25.37,Tweed,New South Wales
Murwillumbah,0.43,14,7027.0,27.83,Tweed,New South Wales
Pottsville,0.69,20,6700.0,22.91,Tweed,New South Wales
Tweed Heads,0.48,28,8176.0,28.62,Tweed,New South Wales
Banora Point,0.33,24,16169.0,19.2,Tweed,New South Wales
Terranora,0.23,3,2923.0,9.52,Tweed,New South Wales
North Tumbulgum,,0,256.0,20.87,Tweed,New South Wales
Tweed Heads South,0.43,19,7616.0,28.97,Tweed,New South Wales
Leeton,0.55,22,8620.0,25.67,Leeton,New South Wales
Narrandera,0.57,13,4373.0,22.05,Narrandera,New South Wales
Tumbarumba,0.3,3,1859.0,21.05,Snowy Valleys,New South Wales
Tumut,0.36,11,6229.0,25.71,Snowy Valleys,New South Wales
Cootamundra,0.56,20,6784.0,21.86,Gundagai,New South Wales
Gundagai,0.23,2,1672.0,21.41,Gundagai,New South Wales
Junee,0.83,17,4921.0,23.86,Junee,New South Wales
Temora,0.75,19,4695.0,21.59,Temora,New South Wales
Wagga Wagga,2.81,116,7101.0,41.32,Wagga Wagga,New South Wales
Berry,0.71,11,2666.0,18.53,Shoalhaven,New South Wales
Kangaroo Valley,0.16,1,880.0,11.97,Shoalhaven,New South Wales
Callala Bay,0.68,9,2192.0,16.84,Shoalhaven,New South Wales
Currarong,,0,449.0,4.54,Shoalhaven,New South Wales
Culburra Beach,0.58,13,2877.0,13.88,Shoalhaven,New South Wales
Ettrema,,0,,,Shoalhaven,New South Wales
Sassafras,0.24,1,1065.0,7.2,Yarra Ranges,Victoria
Budawang,,0,17.0,23.53,Shoalhaven,New South Wales
Huskisson,0.56,5,787.0,24.93,Shoalhaven,New South Wales
Vincentia,0.57,16,3293.0,14.02,Shoalhaven,New South Wales
North Nowra,0.51,13,5794.0,24.33,Shoalhaven,New South Wales
Bomaderry,0.27,9,6663.0,29.48,Shoalhaven,New South Wales
Nowra,0.76,38,9193.0,38.71,Shoalhaven,New South Wales
St Georges Basin,0.56,10,2911.0,16.55,Shoalhaven,New South Wales
Erowal Bay,0.45,2,624.0,10.76,Shoalhaven,New South Wales
Sussex Inlet,0.69,20,3578.0,13.55,Shoalhaven,New South Wales
Berrara,,0,300.0,3.52,Shoalhaven,New South Wales
Tomerong,0.17,1,1070.0,10.07,Shoalhaven,New South Wales
Wandandian,,0,328.0,2.83,Shoalhaven,New South Wales
Woollamia,,0,567.0,5.9,Shoalhaven,New South Wales
Ulladulla,0.29,11,6617.0,23.11,Shoalhaven,New South Wales
Bowral,0.89,50,10333.0,18.28,Wingecarribee,New South Wales
Colo Vale,0.71,5,1613.0,16.44,Wingecarribee,New South Wales
Mittagong,1.34,40,5767.0,22.77,Wingecarribee,New South Wales
Moss Vale,0.86,40,8576.0,24.64,Wingecarribee,New South Wales
Berrima,0.5,2,670.0,9.86,Wingecarribee,New South Wales
Robertson,0.59,11,4976.0,27.69,Brisbane,Queensland
Fitzroy Falls,1.61,2,220.0,3.49,Wingecarribee,New South Wales
Baulkham Hills,1.01,143,37055.0,19.47,The Hills Shire,New South Wales
Bella Vista,0.75,21,7835.0,11.03,The Hills Shire,New South Wales
Glenhaven,0.29,7,6506.0,14.48,The Hills Shire,New South Wales
West Pennant Hills,0.35,20,16375.0,10.95,The Hills Shire,New South Wales
Castle Hill,1.03,179,39587.0,21.29,The Hills Shire,New South Wales
Cherrybrook,0.75,47,18762.0,14.08,Hornsby,New South Wales
Kellyville,1.0,103,27974.0,17.05,The Hills Shire,New South Wales
Kenthurst,0.48,8,5037.0,10.02,The Hills Shire,New South Wales
Wisemans Ferry,,0,221.0,20.91,The Hills Shire,New South Wales
Galston,0.25,3,3139.0,14.62,Hornsby,New South Wales
Laughtondale,1.85,1,82.0,8.51,Hornsby,New South Wales
Bilpin,,0,668.0,13.75,Hawkesbury,New South Wales
St Albans,0.79,121,37311.0,29.95,Brimbank,Victoria
Kurrajong Heights,0.19,1,1340.0,7.39,Hawkesbury,New South Wales
Ebenezer,0.29,1,987.0,10.27,Hawkesbury,New South Wales
Pitt Town,0.43,5,3038.0,8.37,Hawkesbury,New South Wales
McGraths Hill,1.0,9,2552.0,18.34,Hawkesbury,New South Wales
Box Hill,3.84,340,11391.0,48.8,Whitehorse,Victoria
Nelson,,0,188.0,5.86,Glenelg,Victoria
Rouse Hill,2.61,166,7965.0,19.23,The Hills Shire,New South Wales
Beaumont Hills,0.52,14,9038.0,14.15,The Hills Shire,New South Wales
Kings Park,,0,8197.0,20.22,Brimbank,Victoria
Marayong,1.3,40,7712.0,34.97,Blacktown,New South Wales
Doonside,0.67,34,13451.0,40.06,Blacktown,New South Wales
Woodcroft,0.31,14,11154.0,16.62,Onkaparinga,South Australia
Lalor Park,1.03,35,7660.0,36.1,Blacktown,New South Wales
Kings Langley,0.6,20,9348.0,11.3,Blacktown,New South Wales
Blacktown,1.42,281,47175.0,36.66,Blacktown,New South Wales
Seven Hills,1.15,91,19331.0,29.22,Blacktown,New South Wales
Prospect,0.92,61,13275.0,28.63,Prospect,South Australia
Toongabbie,1.71,109,14332.0,27.81,Parramatta,New South Wales
Glenwood,0.92,43,16126.0,18.31,Blacktown,New South Wales
Acacia Gardens,0.51,6,3800.0,15.31,Blacktown,New South Wales
Quakers Hill,1.62,156,27075.0,26.65,Blacktown,New South Wales
Kellyville Ridge,1.49,51,10471.0,19.36,Blacktown,New South Wales
The Ponds,1.06,52,11733.0,19.26,Blacktown,New South Wales
Marsden Park,2.35,115,1009.0,19.05,Blacktown,New South Wales
Shanes Park,,0,407.0,25.2,Blacktown,New South Wales
Riverstone,1.15,54,7245.0,28.48,Blacktown,New South Wales
Colebee,1.43,17,1932.0,10.31,Blacktown,New South Wales
Schofields,2.25,162,4980.0,22.18,Blacktown,New South Wales
Stanhope Gardens,1.2,37,9160.0,18.2,Blacktown,New South Wales
Parklea,0.71,5,3462.0,20.53,Blacktown,New South Wales
Bidwill,0.32,5,4283.0,63.41,Blacktown,New South Wales
Hebersham,1.17,23,5688.0,36.0,Blacktown,New South Wales
Emerton,0.83,7,2255.0,48.67,Blacktown,New South Wales
Glendenning,1.25,20,5130.0,25.33,Blacktown,New South Wales
Dean Park,1.35,15,3224.0,24.46,Blacktown,New South Wales
Hassall Grove,1.64,23,4512.0,23.82,Blacktown,New South Wales
Plumpton,0.97,28,9211.0,22.76,Blacktown,New South Wales
Lethbridge Park,1.43,27,4753.0,47.65,Blacktown,New South Wales
Tregear,1.23,18,3885.0,52.85,Blacktown,New South Wales
Mount Druitt,1.48,93,16728.0,43.97,Blacktown,New South Wales
Whalan,1.06,24,5970.0,44.53,Blacktown,New South Wales
Rooty Hill,0.75,40,14711.0,26.69,Blacktown,New South Wales
Minchinbury,0.59,11,5623.0,17.54,Blacktown,New South Wales
Banksmeadow,62.5,5,,,Botany Bay,New South Wales
Botany,1.38,85,10821.0,29.91,Botany Bay,New South Wales
Pagewood,0.34,5,3803.0,22.83,Botany Bay,New South Wales
Hillsdale,2.87,83,5504.0,47.3,Botany Bay,New South Wales
Daceyville,0.15,1,1209.0,69.76,Botany Bay,New South Wales
