,name,region,state
47,North Avoca,Central Coast,New South Wales
48,Booker Bay,Central Coast,New South Wales
49,Patonga,Central Coast,New South Wales
50,Wamberal,Central Coast,New South Wales
51,Forresters Beach,Central Coast,New South Wales
52,Woy Woy,Central Coast,New South Wales
53,Blackwall,Central Coast,New South Wales
54,Wyoming,Central Coast,New South Wales
55,Bateau Bay,Central Coast,New South Wales
56,Killarney Vale,Central Coast,New South Wales
57,Blue Haven,Central Coast,New South Wales
58,San Remo,Central Coast,New South Wales
59,Budgewoi,Central Coast,New South Wales
60,Buff Point,Central Coast,New South Wales
61,Halekulani,Central Coast,New South Wales
62,Chittaway Bay,Central Coast,New South Wales
63,Tumbi Umbi,Central Coast,New South Wales
64,Gorokan,Central Coast,New South Wales
65,Kanwal,Central Coast,New South Wales
66,Charmhaven,Central Coast,New South Wales
67,Jilliby,Central Coast,New South Wales
68,Yarramalong,Central Coast,New South Wales
69,Lake Munmorah,Central Coast,New South Wales
70,Mannering Park,Central Coast,New South Wales
71,Ourimbah,Central Coast,New South Wales
72,Fountaindale,Central Coast,New South Wales
73,Summerland Point,Central Coast,New South Wales
74,Gwandalan,Central Coast,New South Wales
75,The Entrance,Central Coast,New South Wales
76,Toukley,Central Coast,New South Wales
77,Norah Head,Central Coast,New South Wales
78,Tuggerah,Central Coast,New South Wales
79,Kangy Angy,Central Coast,New South Wales
80,Warnervale,Central Coast,New South Wales
81,Wadalba,Central Coast,New South Wales
82,Wyong,Central Coast,New South Wales
83,Bathurst,Bathurst Regional,New South Wales
84,Oberon,Oberon,New South Wales
85,Condobolin,Lachlan,New South Wales
86,Cowra,Cowra,New South Wales
87,Forbes,Forbes,New South Wales
88,Grenfell,Weddin,New South Wales
89,West Wyalong,Bland,New South Wales
90,Lithgow,Lithgow,New South Wales
91,Mudgee,Mid-Western Regional,New South Wales
92,Wollangambe,Lithgow,New South Wales
93,Wollemi,Singleton,New South Wales
94,Blayney,Blayney,New South Wales
95,Orange,Orange,New South Wales
96,Grafton,Clarence Valley,New South Wales
97,Maclean,Clarence Valley,New South Wales
98,Yamba,Clarence Valley,New South Wales
99,Iluka,Joondalup,Western Australia
100,Bellingen,Bellingen,New South Wales
101,Coffs Harbour,Coffs Harbour,New South Wales
102,Coramba,Coffs Harbour,New South Wales
103,Nana Glen,Coffs Harbour,New South Wales
104,Bucca,Bundaberg,Queensland
105,Dorrigo,Bellingen,New South Wales
106,Korora,Coffs Harbour,New South Wales
107,Emerald Beach,Coffs Harbour,New South Wales
108,Sawtell,Coffs Harbour,New South Wales
109,Boambee,Coffs Harbour,New South Wales
110,Urunga,Bellingen,New South Wales
111,Woolgoolga,Coffs Harbour,New South Wales
112,Arrawarra,Coffs Harbour,New South Wales
113,Bourke,Bourke,New South Wales
114,Brewarrina,Brewarrina,New South Wales
115,Cobar,Cobar,New South Wales
116,Coonamble,Coonamble,New South Wales
117,Nyngan,Bogan,New South Wales
118,Warren,Warren,New South Wales
119,Walgett,Walgett,New South Wales
120,Lightning Ridge,Walgett,New South Wales
121,Broken Hill,NSW,New South Wales
122,Coonabarabran,Warrumbungle Shire,New South Wales
123,Dubbo,Western Plains Regional,New South Wales
124,Gilgandra,Gilgandra,New South Wales
125,Narromine,Narromine,New South Wales
126,Wellington,Western Plains Regional,New South Wales
127,Branxton,Singleton,New South Wales
128,Greta,Cessnock,New South Wales
129,Pokolbin,Cessnock,New South Wales
130,Cessnock,Cessnock,New South Wales
131,Dungog,Dungog,New South Wales
132,Kurri Kurri,Cessnock,New South Wales
133,Abermain,Cessnock,New South Wales
134,Singleton,Singleton,New South Wales
135,Maitland,Maitland,New South Wales
136,East Maitland,Maitland,New South Wales
137,Metford,Maitland,New South Wales
138,Aberglasslyn,Maitland,New South Wales
139,Telarah,Maitland,New South Wales
140,Tenambit,Maitland,New South Wales
141,Thornton,Maitland,New South Wales
142,Millers Forest,Maitland,New South Wales
143,Anna Bay,Port Stephens,New South Wales
144,Lemon Tree Passage,Port Stephens,New South Wales
145,Tanilba Bay,Port Stephens,New South Wales
146,Raymond Terrace,Port Stephens,New South Wales
147,Seaham,Port Stephens,New South Wales
148,Woodville,Charles Sturt,South Australia
149,Tea Gardens,Mid-Coast,New South Wales
150,Hawks Nest,Mid-Coast,New South Wales
151,Williamtown,Port Stephens,New South Wales
152,Medowie,Port Stephens,New South Wales
153,Karuah,Port Stephens,New South Wales
154,Muswellbrook,Muswellbrook,New South Wales
155,Scone,Upper Hunter Shire,New South Wales
156,Dapto,Wollongong,New South Wales
157,Avondale,Wollongong,New South Wales
158,Horsley,Wollongong,New South Wales
159,Kembla Grange,Wollongong,New South Wales
160,Unanderra,Wollongong,New South Wales
161,Mount Kembla,Wollongong,New South Wales
162,Berkeley,Wollongong,New South Wales
163,Lake Heights,Wollongong,New South Wales
164,Cringila,Wollongong,New South Wales
165,Port Kembla,Wollongong,New South Wales
166,Warrawong,Wollongong,New South Wales
167,Windang,Wollongong,New South Wales
168,Primbee,Wollongong,New South Wales
169,Albion Park,Shellharbour,New South Wales
170,Macquarie Pass,Shellharbour,New South Wales
171,Albion Park Rail,Shellharbour,New South Wales
172,Kiama,Kiama,New South Wales
173,Kiama Downs,Kiama,New South Wales
174,Minnamurra,Kiama,New South Wales
175,Gerringong,Kiama,New South Wales
176,Shellharbour,Shellharbour,New South Wales
177,Flinders,Shellharbour,New South Wales
178,Oak Flats,Shellharbour,New South Wales
179,Warilla,Shellharbour,New South Wales
180,Balgownie,Wollongong,New South Wales
181,Fairy Meadow,Wollongong,New South Wales
182,Corrimal,Wollongong,New South Wales
183,Tarrawanna,Wollongong,New South Wales
184,Bellambi,Wollongong,New South Wales
185,Figtree,Wollongong,New South Wales
186,Keiraville,Wollongong,New South Wales
187,Helensburgh,Wollongong,New South Wales
188,Thirroul,Wollongong,New South Wales
189,Austinmer,Wollongong,New South Wales
190,Coalcliff,Wollongong,New South Wales
191,Woonona,Wollongong,New South Wales
192,Bulli,Wollongong,New South Wales
193,Russell Vale,Wollongong,New South Wales
194,Wollongong,Wollongong,New South Wales
195,Bulahdelah,Mid-Coast,New South Wales
196,Stroud,Mid-Coast,New South Wales
197,Forster,Mid-Coast,New South Wales
198,Tuncurry,Mid-Coast,New South Wales
199,Kempsey,Kempsey,New South Wales
200,Macksville,Nambucca,New South Wales
201,Scotts Head,Nambucca,New South Wales
202,Nambucca Heads,Nambucca,New South Wales
203,South West Rocks,Kempsey,New South Wales
204,Lord Howe Island,NSW,New South Wales
205,Laurieton,Port Macquarie-Hastings,New South Wales
206,Bonny Hills,Port Macquarie-Hastings,New South Wales
207,Port Macquarie,Port Macquarie-Hastings,New South Wales
208,Wauchope,Port Macquarie-Hastings,New South Wales
209,Gloucester,Mid-Coast,New South Wales
210,Old Bar,Mid-Coast,New South Wales
211,Manning Point,Mid-Coast,New South Wales
212,Red Head,Mid-Coast,New South Wales
213,Taree,Mid-Coast,New South Wales
214,Wingham,Mid-Coast,New South Wales
215,Albury,Albury,New South Wales
216,Lavington,Albury,New South Wales
217,Hay,Hay,New South Wales
218,Wentworth,Wentworth,New South Wales
219,Buronga,Wentworth,New South Wales
220,Corowa,Federation,New South Wales
221,Deniliquin,Murray River,New South Wales
222,Moama,Murray River,New South Wales
223,Tocumwal,Berrigan,New South Wales
224,Finley,Berrigan,New South Wales
225,Jerilderie,Murrumbidgee,New South Wales
226,Armidale,Armidale Regional,New South Wales
227,Walcha,Walcha,New South Wales
228,Glen Innes,Glen Innes Severn,New South Wales
229,Inverell,Inverell,New South Wales
230,Tenterfield,Tenterfield,New South Wales
231,Moree,Moree Plains,New South Wales
232,Narrabri,Narrabri,New South Wales
233,Gunnedah,Gunnedah,New South Wales
234,Quirindi,Liverpool Plains,New South Wales
235,Tamworth,Tamworth Regional,New South Wales
236,Belmont,Greater Geelong,Victoria
237,Bennetts Green,Lake Macquarie,New South Wales
238,Belmont South,Lake Macquarie,New South Wales
239,Blacksmiths,Lake Macquarie,New South Wales
240,Charlestown,Lake Macquarie,New South Wales
241,Dudley,Lake Macquarie,New South Wales
242,Glendale,Lake Macquarie,New South Wales
243,Cardiff,Lake Macquarie,New South Wales
244,Mount Hutton,Lake Macquarie,New South Wales
245,Windale,Lake Macquarie,New South Wales
246,Redhead,Lake Macquarie,New South Wales
247,Swansea,Lake Macquarie,New South Wales
248,Caves Beach,Lake Macquarie,New South Wales
249,Valentine,Lake Macquarie,New South Wales
250,Eleebana,Lake Macquarie,New South Wales
251,Warners Bay,Lake Macquarie,New South Wales
252,Boolaroo,Lake Macquarie,New South Wales
253,Bolton Point,Lake Macquarie,New South Wales
254,Teralba,Lake Macquarie,New South Wales
255,Bonnells Bay,Lake Macquarie,New South Wales
256,Edgeworth,Lake Macquarie,New South Wales
257,Cameron Park,Lake Macquarie,New South Wales
258,Morisset,Lake Macquarie,New South Wales
259,Cooranbong,Lake Macquarie,New South Wales
260,Toronto,Lake Macquarie,New South Wales
261,Awaba,Lake Macquarie,New South Wales
262,Wangi Wangi,Lake Macquarie,New South Wales
263,Rathmines,Lake Macquarie,New South Wales
264,West Wallsend,Lake Macquarie,New South Wales
265,Barnsley,Lake Macquarie,New South Wales
266,Killingworth,Lake Macquarie,New South Wales
267,Adamstown,Newcastle,New South Wales
268,Kotara,Newcastle,New South Wales
269,Beresfield,Newcastle,New South Wales
270,Hexham,Moyne,Victoria
271,Hamilton,Southern Grampians,Victoria
272,Broadmeadow,Newcastle,New South Wales
273,Lambton,Newcastle,New South Wales
274,New Lambton,Newcastle,New South Wales
275,Fletcher,Newcastle,New South Wales
276,Minmi,Newcastle,New South Wales
277,Mayfield,Launceston,Tasmania
278,Warabrook,Newcastle,New South Wales
279,Merewether,Newcastle,New South Wales
280,The Junction,Newcastle,New South Wales
281,Newcastle,Newcastle,New South Wales
282,Cooks Hill,Newcastle,New South Wales
283,Kooragang,Newcastle,New South Wales
284,Shortland,Newcastle,New South Wales
285,Jesmond,Newcastle,New South Wales
286,Stockton,Newcastle,New South Wales
287,Fullerton Cove,Port Stephens,New South Wales
288,Wallsend,Newcastle,New South Wales
289,Elermore Vale,Newcastle,New South Wales
290,Waratah,Newcastle,New South Wales
291,North Lambton,Newcastle,New South Wales
292,Wickham,Karratha,Western Australia
293,Carrington,Tablelands,Queensland
294,Tighes Hill,Newcastle,New South Wales
295,Ballina,Ballina,New South Wales
296,Bangalow,Byron,New South Wales
297,Brunswick Heads,Byron,New South Wales
298,Ocean Shores,Byron,New South Wales
299,Byron Bay,Byron,New South Wales
300,Evans Head,Richmond Valley,New South Wales
301,Lennox Head,Ballina,New South Wales
302,Skennars Head,Ballina,New South Wales
303,Mullumbimby,Byron,New South Wales
304,Casino,Richmond Valley,New South Wales
305,Goonellabah,Lismore,New South Wales
306,Kyogle,Kyogle,New South Wales
307,Lismore,Lismore,New South Wales
308,Kingscliff,Tweed,New South Wales
309,Fingal Head,Tweed,New South Wales
310,Murwillumbah,Tweed,New South Wales
311,Pottsville,Tweed,New South Wales
312,Tweed Heads,Tweed,New South Wales
313,Banora Point,Tweed,New South Wales
314,Terranora,Tweed,New South Wales
315,North Tumbulgum,Tweed,New South Wales
316,Tweed Heads South,Tweed,New South Wales
317,Leeton,Leeton,New South Wales
318,Narrandera,Narrandera,New South Wales
319,Tumbarumba,Snowy Valleys,New South Wales
320,Tumut,Snowy Valleys,New South Wales
321,Cootamundra,Gundagai,New South Wales
322,Gundagai,Gundagai,New South Wales
323,Junee,Junee,New South Wales
324,Temora,Temora,New South Wales
325,Wagga Wagga,Wagga Wagga,New South Wales
326,Berry,Shoalhaven,New South Wales
327,Kangaroo Valley,Shoalhaven,New South Wales
328,Callala Bay,Shoalhaven,New South Wales
329,Currarong,Shoalhaven,New South Wales
330,Culburra Beach,Shoalhaven,New South Wales
331,Ettrema,Shoalhaven,New South Wales
332,Sassafras,Yarra Ranges,Victoria
333,Budawang,Shoalhaven,New South Wales
334,Huskisson,Shoalhaven,New South Wales
335,Vincentia,Shoalhaven,New South Wales
336,North Nowra,Shoalhaven,New South Wales
337,Bomaderry,Shoalhaven,New South Wales
338,Nowra,Shoalhaven,New South Wales
339,St Georges Basin,Shoalhaven,New South Wales
340,Erowal Bay,Shoalhaven,New South Wales
341,Sussex Inlet,Shoalhaven,New South Wales
342,Berrara,Shoalhaven,New South Wales
343,Tomerong,Shoalhaven,New South Wales
344,Wandandian,Shoalhaven,New South Wales
345,Woollamia,Shoalhaven,New South Wales
346,Ulladulla,Shoalhaven,New South Wales
347,Bowral,Wingecarribee,New South Wales
348,Colo Vale,Wingecarribee,New South Wales
349,Mittagong,Wingecarribee,New South Wales
350,Moss Vale,Wingecarribee,New South Wales
351,Berrima,Wingecarribee,New South Wales
352,Robertson,Brisbane,Queensland
353,Fitzroy Falls,Wingecarribee,New South Wales
354,Baulkham Hills,The Hills Shire,New South Wales
355,Bella Vista,The Hills Shire,New South Wales
356,Glenhaven,The Hills Shire,New South Wales
357,West Pennant Hills,The Hills Shire,New South Wales
358,Castle Hill,The Hills Shire,New South Wales
359,Cherrybrook,Hornsby,New South Wales
360,Kellyville,The Hills Shire,New South Wales
361,Kenthurst,The Hills Shire,New South Wales
362,Wisemans Ferry,The Hills Shire,New South Wales
363,Galston,Hornsby,New South Wales
364,Laughtondale,Hornsby,New South Wales
365,Bilpin,Hawkesbury,New South Wales
366,St Albans,Brimbank,Victoria
367,Kurrajong Heights,Hawkesbury,New South Wales
368,Ebenezer,Hawkesbury,New South Wales
369,Pitt Town,Hawkesbury,New South Wales
370,McGraths Hill,Hawkesbury,New South Wales
371,Box Hill,Whitehorse,Victoria
372,Nelson,Glenelg,Victoria
373,Rouse Hill,The Hills Shire,New South Wales
374,Beaumont Hills,The Hills Shire,New South Wales
375,Kings Park,Brimbank,Victoria
376,Marayong,Blacktown,New South Wales
377,Doonside,Blacktown,New South Wales
378,Woodcroft,Onkaparinga,South Australia
379,Lalor Park,Blacktown,New South Wales
380,Kings Langley,Blacktown,New South Wales
381,Blacktown,Blacktown,New South Wales
382,Seven Hills,Blacktown,New South Wales
383,Prospect,Prospect,South Australia
384,Toongabbie,Parramatta,New South Wales
385,Glenwood,Blacktown,New South Wales
386,Acacia Gardens,Blacktown,New South Wales
387,Quakers Hill,Blacktown,New South Wales
388,Kellyville Ridge,Blacktown,New South Wales
389,The Ponds,Blacktown,New South Wales
390,Marsden Park,Blacktown,New South Wales
391,Shanes Park,Blacktown,New South Wales
392,Riverstone,Blacktown,New South Wales
393,Colebee,Blacktown,New South Wales
394,Schofields,Blacktown,New South Wales
395,Stanhope Gardens,Blacktown,New South Wales
396,Parklea,Blacktown,New South Wales
397,Bidwill,Blacktown,New South Wales
398,Hebersham,Blacktown,New South Wales
399,Emerton,Blacktown,New South Wales
400,Glendenning,Blacktown,New South Wales
401,Dean Park,Blacktown,New South Wales
402,Hassall Grove,Blacktown,New South Wales
403,Plumpton,Blacktown,New South Wales
404,Lethbridge Park,Blacktown,New South Wales
405,Tregear,Blacktown,New South Wales
406,Mount Druitt,Blacktown,New South Wales
407,Whalan,Blacktown,New South Wales
408,Rooty Hill,Blacktown,New South Wales
409,Minchinbury,Blacktown,New South Wales
410,Banksmeadow,Botany Bay,New South Wales
411,Botany,Botany Bay,New South Wales
412,Pagewood,Botany Bay,New South Wales
413,Hillsdale,Botany Bay,New South Wales
414,Daceyville,Botany Bay,New South Wales
415,Eastlakes,Botany Bay,New South Wales
416,Mascot,Botany Bay,New South Wales
417,Petersham,Inner West,New South Wales
418,Stanmore,Inner West,New South Wales
419,Sydenham,Brimbank,Victoria
420,Tempe,Inner West,New South Wales
421,St Peters,Norwood Payneham St Peters,South Australia
422,Marrickville,Inner West,New South Wales
423,Darlinghurst,Sydney,New South Wales
424,Erskineville,Sydney,New South Wales
425,Alexandria,Sydney,New South Wales
426,Glebe,Sydney,New South Wales
427,Forest Lodge,Sydney,New South Wales
428,Potts Point,Sydney,New South Wales
429,Woolloomooloo,Sydney,New South Wales
430,Surry Hills,Sydney,New South Wales
431,Camperdown,Sydney,New South Wales
432,Darlington,Mundaring,Western Australia
433,Chippendale,Sydney,New South Wales
434,Pyrmont,Sydney,New South Wales
435,Redfern,Sydney,New South Wales
436,Rosebery,Sydney,New South Wales
437,Beaconsfield,Cardinia,Victoria
438,Millers Point,Sydney,New South Wales
439,Haymarket,Sydney,New South Wales
440,Ultimo,Sydney,New South Wales
441,Waterloo,Sydney,New South Wales
442,Zetland,Sydney,New South Wales
443,Bondi,Waverley,New South Wales
444,Tamarama,Waverley,New South Wales
445,Bronte,Waverley,New South Wales
446,Bondi Beach,Waverley,New South Wales
447,North Bondi,Waverley,New South Wales
448,Bondi Junction,Waverley,New South Wales
449,Waverly,Upper Hunter Shire,New South Wales
450,Centennial Park,Randwick,New South Wales
451,Dover Heights,Waverley,New South Wales
452,Paddington,Woollahra,New South Wales
453,Moore Park,Sydney,New South Wales
454,Rose Bay,Woollahra,New South Wales
455,Vaucluse,Woollahra,New South Wales
456,Watsons Bay,Woollahra,New South Wales
457,Woollahra,Woollahra,New South Wales
458,Bellevue Hill,Woollahra,New South Wales
459,Double Bay,Woollahra,New South Wales
460,Darling Point,Woollahra,New South Wales
461,Kingsford,Randwick,New South Wales
462,Maroubra,Randwick,New South Wales
463,Randwick,Randwick,New South Wales
464,Coogee,Randwick,New South Wales
465,Clovelly,Randwick,New South Wales
466,Malabar,Randwick,New South Wales
467,La Perouse,Randwick,New South Wales
468,Matraville,Randwick,New South Wales
469,Chifley,Randwick,New South Wales
470,South Coogee,Randwick,New South Wales
471,Bass Hill,Canterbury-Bankstown,New South Wales
472,Georges Hall,Canterbury-Bankstown,New South Wales
473,Chullora,Canterbury-Bankstown,New South Wales
474,Condell Park,Canterbury-Bankstown,New South Wales
475,Padstow,Canterbury-Bankstown,New South Wales
476,Revesby,Canterbury-Bankstown,New South Wales
477,Yagoona,Canterbury-Bankstown,New South Wales
478,Birrong,Canterbury-Bankstown,New South Wales
479,Bankstown,Canterbury-Bankstown,New South Wales
480,Greenacre,Canterbury-Bankstown,New South Wales
481,Milperra,Canterbury-Bankstown,New South Wales
482,Picnic Point,Canterbury-Bankstown,New South Wales
483,Belmore,Canterbury-Bankstown,New South Wales
484,Belfield,Canterbury-Bankstown,New South Wales
485,Punchbowl,Launceston,Tasmania
486,Roselands,Canterbury-Bankstown,New South Wales
487,Lakemba,Canterbury-Bankstown,New South Wales
488,Wiley Park,Canterbury-Bankstown,New South Wales
489,Campsie,Canterbury-Bankstown,New South Wales
490,Canterbury,Boroondara,Victoria
491,Earlwood,Canterbury-Bankstown,New South Wales
492,Kingsgrove,Canterbury-Bankstown,New South Wales
493,Narwee,Canterbury-Bankstown,New South Wales
494,Beverly Hills,Georges River,New South Wales
495,Oatley,Georges River,New South Wales
496,Hurstville Grove,Georges River,New South Wales
497,Peakhurst,Georges River,New South Wales
498,Lugarno,Georges River,New South Wales
499,Riverwood,Canterbury-Bankstown,New South Wales
500,South Hurstville,Georges River,New South Wales
501,Blakehurst,Georges River,New South Wales
502,Hurstville,Georges River,New South Wales
503,Mortdale,Georges River,New South Wales
504,Penshurst,Georges River,New South Wales
505,Bardwell Park,Rockdale,New South Wales
506,Kogarah,Rockdale,New South Wales
507,Kogarah Bay,Georges River,New South Wales
508,Carlton,Melbourne,Victoria
509,Allawah,Georges River,New South Wales
510,Monterey,Rockdale,New South Wales
511,Brighton-le-Sands,Rockdale,New South Wales
512,Kyeemagh,Rockdale,New South Wales
513,Rockdale,Rockdale,New South Wales
514,Banksia,Rockdale,New South Wales
515,Sans Souci,Rockdale,New South Wales
516,Ramsgate,Rockdale,New South Wales
517,Arncliffe,Rockdale,New South Wales
518,Bardwell Valley,Rockdale,New South Wales
519,Bexley,Rockdale,New South Wales
520,Wolli Creek,Rockdale,New South Wales
521,Concord,Canada Bay,New South Wales
522,Mortlake,Moyne,Victoria
523,Cabarita,Canada Bay,New South Wales
524,Drummoyne,Canada Bay,New South Wales
525,Rodd Point,Canada Bay,New South Wales
526,Five Dock,Canada Bay,New South Wales
527,Abbotsford,Yarra,Victoria
528,Concord West,Canada Bay,New South Wales
529,North Strathfield,Canada Bay,New South Wales
530,Rhodes,Canada Bay,New South Wales
531,Balmain,Inner West,New South Wales
532,Lilyfield,Inner West,New South Wales
533,Rozelle,Inner West,New South Wales
534,Leichhardt,Inner West,New South Wales
535,Ashbury,Canterbury-Bankstown,New South Wales
536,Croydon Park,Burwood,New South Wales
537,Enfield,Port Adelaide Enfield,South Australia
538,Dulwich Hill,Inner West,New South Wales
539,Lewisham,Inner West,New South Wales
540,Haberfield,Inner West,New South Wales
541,Homebush,Strathfield,New South Wales
542,Strathfield South,Strathfield,New South Wales
543,Ashfield,Inner West,New South Wales
544,Croydon,Maroondah,Victoria
545,Strathfield,Strathfield,New South Wales
546,Lane Cove North,Lane Cove,New South Wales
547,St Leonards,Willoughby,New South Wales
548,Naremburn,Willoughby,New South Wales
549,Artarmon,Willoughby,New South Wales
550,Castle Cove,Willoughby,New South Wales
551,Northbridge,Willoughby,New South Wales
552,Chatswood,Willoughby,New South Wales
553,Greenwich,Lane Cove,New South Wales
554,Riverview,Lane Cove,New South Wales
555,Lane Cove,Lane Cove,New South Wales
556,Willoughby,Willoughby,New South Wales
557,Asquith,Hornsby,New South Wales
558,Mount Colah,Hornsby,New South Wales
559,Berowra,Hornsby,New South Wales
560,Brooklyn,Brimbank,Victoria
561,Cowan,Hornsby,New South Wales
562,Normanhurst,Hornsby,New South Wales
563,Thornleigh,Hornsby,New South Wales
564,Westleigh,Hornsby,New South Wales
565,Hornsby,Hornsby,New South Wales
566,Waitara,Hornsby,New South Wales
567,Gordon,Ku-ring-gai,New South Wales
568,Killara,Ku-ring-gai,New South Wales
569,Lindfield,Ku-ring-gai,New South Wales
570,Roseville,Ku-ring-gai,New South Wales
571,Pymble,Ku-ring-gai,New South Wales
572,St Ives,Ku-ring-gai,New South Wales
573,Turramurra,Ku-ring-gai,New South Wales
574,Warrawee,Ku-ring-gai,New South Wales
575,Cremorne,North Sydney,New South Wales
576,Cammeray,North Sydney,New South Wales
577,Crows Nest,North Sydney,New South Wales
578,Waverton,North Sydney,New South Wales
579,Neutral Bay,North Sydney,New South Wales
580,Kirribilli,North Sydney,New South Wales
581,North Sydney,North Sydney,New South Wales
582,Lavender Bay,North Sydney,New South Wales
583,Mosman,Mosman,New South Wales
584,Balgowlah,Northern Beaches,New South Wales
585,Clontarf,Northern Beaches,New South Wales
586,Seaforth,Northern Beaches,New South Wales
587,Manly,Northern Beaches,New South Wales
588,Fairlight,Northern Beaches,New South Wales
589,Avalon,Greater Geelong,Victoria
590,Palm Beach,Gold Coast,Queensland
591,Bayview,Northern Beaches,New South Wales
592,Elanora Heights,Northern Beaches,New South Wales
593,Newport,Hobsons Bay,Victoria
594,Mona Vale,Northern Beaches,New South Wales
595,North Narrabeen,Northern Beaches,New South Wales
596,Beacon Hill,Northern Beaches,New South Wales
597,Narraweena,Northern Beaches,New South Wales
598,Cromer,Northern Beaches,New South Wales
599,Forestville,Northern Beaches,New South Wales
600,Killarney Heights,Northern Beaches,New South Wales
601,Freshwater,Northern Beaches,New South Wales
602,Brookvale,Northern Beaches,New South Wales
603,Manly Vale,Northern Beaches,New South Wales
604,Allambie Heights,Northern Beaches,New South Wales
605,Terrey Hills,Northern Beaches,New South Wales
606,Duffys Forest,Northern Beaches,New South Wales
607,Belrose,Northern Beaches,New South Wales
608,Collaroy,Northern Beaches,New South Wales
609,Collaroy Plateau,Northern Beaches,New South Wales
610,North Curl Curl,Northern Beaches,New South Wales
611,Dee Why,Northern Beaches,New South Wales
612,Frenchs Forest,Northern Beaches,New South Wales
613,Oxford Falls,Northern Beaches,New South Wales
614,Narrabeen,Northern Beaches,New South Wales
615,Wheeler Heights,Northern Beaches,New South Wales
616,Camden,Camden,New South Wales
617,Ellis Lane,Camden,New South Wales
618,Currans Hill,Camden,New South Wales
619,Elderslie,Southern Midlands,Tasmania
620,Narellan,Camden,New South Wales
621,Harrington Park,Camden,New South Wales
622,Mount Annan,Camden,New South Wales
623,Spring Farm,Camden,New South Wales
624,Bradbury,Campbelltown,New South Wales
625,Wedderburn,Loddon,Victoria
626,Campbelltown,Campbelltown,New South Wales
627,Woodbine,Campbelltown,New South Wales
628,Claymore,Campbelltown,New South Wales
629,Eagle Vale,Campbelltown,New South Wales
630,Raby,Campbelltown,New South Wales
631,Leumeah,Campbelltown,New South Wales
632,Minto Heights,Campbelltown,New South Wales
633,Minto,Campbelltown,New South Wales
634,St Andrews,Campbelltown,New South Wales
635,Rosemeadow,Campbelltown,New South Wales
636,Glen Alpine,Campbelltown,New South Wales
637,Denham Court,Campbelltown,New South Wales
638,Bardia,Campbelltown,New South Wales
639,Glenfield,Campbelltown,New South Wales
640,Ingleburn,Campbelltown,New South Wales
641,Macquarie Fields,Campbelltown,New South Wales
642,Bargo,Wollondilly,New South Wales
643,Douglas Park,Wollondilly,New South Wales
644,Appin,Wollondilly,New South Wales
645,Picton,Wollondilly,New South Wales
646,Tahmoor,Wollondilly,New South Wales
647,Buxton,Wollondilly,New South Wales
648,The Oaks,Wollondilly,New South Wales
649,Oakdale,Wollondilly,New South Wales
650,Blackheath,Blue Mountains,New South Wales
651,Megalong Valley,Blue Mountains,New South Wales
652,Blaxland,Blue Mountains,New South Wales
653,Warrimoo,Blue Mountains,New South Wales
654,Lapstone,Blue Mountains,New South Wales
655,Katoomba,Blue Mountains,New South Wales
656,Leura,Blue Mountains,New South Wales
657,Lawson,Blue Mountains,New South Wales
658,Hazelbrook,Blue Mountains,New South Wales
659,Linden,Blue Mountains,New South Wales
660,Springwood,Logan,Queensland
